ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_CO-114,0.11,5.8,1.9,1.2,3,0.19,0.11,0.3,0.000344681,0.018456813,0.01748,0.002794213,0.000117021,0.005282389,0.00532,0.000279421
NLA12_CO-117,0.44,6.102857143,0.69,0.44,1,0.076,0.05,0.11,0.001572781,0.005315359,0.006348,0.001128824,0.000710651,0.001496898,0.002128,0.000124334
NLA12_CO-127,0.22,97.2,7.7,5.8,9.9,0.52,0.37,0.7,0.00042973,0.054906453,0.02233,0.032364973,0.000116216,0.00885759,0.00676,0.002185686
NLA12_CO-131,0.18,1.762857143,0.47,0.15,0.96,0.11,0.041,0.2,0.000191667,0.003404295,0.002961,0.001269,5.21E-05,0.001928834,0.00209,0.000297
NLA12_CO-133,0.13,1.104,0.42,0.27,0.62,0.059,0.031,0.093,0.003591071,0.001965139,0.003864,0.0020088,0.001275,0.00053525,0.001652,0.000282189
NLA12_ID-101,2.41,1.168,0.1,0.059,0.16,0.017,0.01,0.027,0.001127673,7.44E-05,0.00092,0.000276535,0.000508796,2.07E-05,0.000476,4.70E-05
NLA12_ID-102,0.6,1.432,0.086,0.056,0.12,0.013,0.0076,0.018,0.000844126,0.000799421,0.0007912,0.000898461,0.000217765,0.000237842,0.000364,0.000135814
NLA12_ID-103,2.94,3.562666667,0.26,0.17,0.36,0.035,0.022,0.05,0.00288677,0.000312571,0.002392,0.000834709,0.000977054,0.000100181,0.00098,0.000112365
NLA12_ID-105,0.48,2.824,0.23,0.16,0.33,0.026,0.017,0.038,0.000553986,0.001818125,0.002116,0.0004104,0.000142029,0.000594065,0.000728,4.64E-05
NLA12_ID-108,2.1,1.152,0.0062,0.0028,0.011,0.0019,0.00089,0.0033,0.000935236,6.50E-05,5.70E-05,0.000936771,0.000314253,1.80E-05,5.32E-05,0.000287075
NLA12_ID-110,1.06,4.88,0.14,0.091,0.21,0.026,0.012,0.05,0.044598425,0.004529734,0.000882,0.048241134,0.00747874,0.002121481,0.000494,0.008959068
NLA12_ID-111,2.35,12.24,0.96,0.57,1.5,0.08,0.043,0.13,0.009223065,0.000732065,0.006048,0.00421855,0.00163914,0.000180495,0.00152,0.000351546
NLA12_ID-112,0.23,2.024,0.18,0.12,0.26,0.037,0.025,0.051,0.00333806,0.002826862,0.001656,0.004479904,0.000986567,0.000906669,0.001036,0.000920869
NLA12_ID-122,5.96,45.68,0.37,0.22,0.58,0.031,0.018,0.049,0.002293315,0.000566981,0.002331,0.000795837,0.000549322,8.14E-05,0.000589,6.67E-05
NLA12_ID-141,0.73,1.264,0.21,0.13,0.3,0.035,0.021,0.054,0.002696486,0.00039803,0.001932,0.001185447,0.001041054,0.000113851,0.00098,0.000197574
NLA12_ID-143,0.24,5.76,1.5,1.1,2.1,0.22,0.15,0.32,0.007437736,0.006501332,0.00945,0.005135094,0.002000943,0.00273176,0.00418,0.000753147
NLA12_ID-145,0.23,0.441142857,0.24,0.16,0.35,0.039,0.024,0.057,0.002989308,0.000580404,0.002208,0.001408483,0.001113836,0.000101224,0.001092,0.000228878
NLA12_ID-148,0.26,5.546666667,0.29,0.18,0.43,0.056,0.031,0.091,7.49E-05,0.00276959,0.001827,0.001153205,3.01E-05,0.001194021,0.001064,0.000222688
NLA12_ID-165,0.22,4.056,0.15,0.088,0.24,0.034,0.021,0.053,0.009226619,0.004810502,0.00138,0.012447194,0.002356835,0.001509083,0.000952,0.002821364
NLA12_ID-166,0.26,2.456,3.6,2,5.9,0.57,0.25,1,0.387179167,0.003491802,0.02268,0.371088,0.068361111,0.002075353,0.01083,0.0587556
NLA12_ID-168,0.96,1.296,0.17,0.12,0.23,0.041,0.026,0.062,0.00499297,0.000365714,0.001564,0.00365198,0.001970014,0.000105484,0.001148,0.000880772
NLA12_ID-175,0.32,24.48,1.2,0.9,1.6,0.19,0.13,0.28,0.018235377,0.009495934,0.00756,0.020051321,0.005341038,0.001631449,0.00361,0.003174792
NLA12_ID-194,0.59,31.36,1.4,1,2,0.2,0.12,0.3,0.024295789,0.01158655,0.00882,0.026101895,0.005715789,0.001826807,0.0038,0.003728842
NLA12_ID-203,0.21,22.29333333,1.7,0.9,2.9,0.11,0.067,0.17,0.00132377,0.014558175,0.01564,0.001926295,0.000568852,0.002576476,0.00308,0.000124643
NLA12_ID-207,0.28,5.448,0.41,0.27,0.59,0.069,0.045,0.1,0.008570253,0.005255513,0.003772,0.009999433,0.002131013,0.001532947,0.001932,0.001682831
NLA12_ID-210,0.24,0.384,0.16,0.09,0.25,0.013,0.0044,0.027,0.000987429,0.00046099,0.001472,0.000236983,0.000211429,7.44E-05,0.000364,1.93E-05
NLA12_ID-214,3.05,8.72,0.77,0.49,1.1,0.11,0.055,0.19,0.009591689,0.000151069,0.004851,0.005049364,0.002735831,4.71E-05,0.00209,0.000721338
NLA12_ID-216,0.33,86.56,2.3,1.7,3,0.24,0.17,0.33,0.014564423,0.025540663,0.01449,0.025795385,0.003846154,0.00335208,0.00456,0.002691692
NLA12_MT-102,1.25,0.884571429,0.32,0.21,0.45,0.042,0.028,0.06,0.003334434,0.000168997,0.002944,0.000678158,0.001224528,4.20E-05,0.001176,8.90E-05
NLA12_MT-103,0.61,3.296,3,2.4,3.8,0.51,0.38,0.68,0.018151515,0.00530435,0.0087,0.014452364,0.008073939,0.001032886,0.00663,0.002456902
NLA12_MT-104,5.47,0.637333333,0.31,0.17,0.47,0.043,0.027,0.061,0.001460081,9.15E-05,0.000899,0.000659508,0.000625479,9.90E-06,0.000559,9.15E-05
NLA12_MT-105,0.71,1.014,0.18,0.12,0.26,0.045,0.021,0.078,0.006738767,0.000404476,0.001656,0.005321072,0.002541352,0.000106514,0.00126,0.001330268
NLA12_MT-106,6.02,0.464,0.061,0.036,0.095,0.0036,0.0024,0.0053,9.62E-05,6.76E-05,0.0001769,4.39E-06,3.50E-05,6.22E-06,4.68E-05,2.59E-07
NLA12_MT-107,0.36,6.616,4.7,2.5,8.7,0.24,0.16,0.34,0.010836,0.008872246,0.01363,0.006172416,0.0014328,0.001850751,0.00312,0.000315187
NLA12_MT-108,0.17,8.56,6.2,5.1,7.3,0.65,0.51,0.82,0.007620455,0.027287919,0.01798,0.017044364,0.004388636,0.0056937,0.00845,0.001786909
NLA12_MT-109,14.01,5.237333333,0.097,0.07,0.13,0.012,0.0071,0.02,0.000171126,0.000105218,0.0002813,4.72E-06,0.000133971,2.17E-05,0.000156,5.84E-07
NLA12_MT-111,13.06,1.134,0.036,0.021,0.056,0.0044,0.0025,0.0068,0.000347945,4.95E-06,0.0003312,3.00E-05,0.000124464,1.36E-06,0.0001232,3.67E-06
